name,hp,atk,def,spa,spd,spe,weight,height,formats,generation,format codes,Weaknesses,Strong Weaknesses,Resists,Strong Resists,Immune,STAB,Resistance Index,Entry Hazards,Hazard Removal,Removal Deterrent,Cleric,Pivot,Item Removal,Setup,Priority,HP Drain,HP Recovery,Weather Set,Weather Gimmick,Physical Cutoff 1,Physical Cutoff 2,Physical Cutoff 3,Physical Cutoff 4,Physical Cutoff 5,Physical Cutoff 6,Physical Coverage 1,Physical Coverage 2,Physical Coverage 3,Physical Coverage 4,Special Cutoff 1,Special Cutoff 2,Special Cutoff 3,Special Cutoff 4,Special Cutoff 5,Special Cutoff 6,Special Cutoff 7,Special Coverage 1,Special Coverage 2,Special Coverage 3,Special Coverage 4,Special Coverage 5,Special Coverage 6,Special Coverage 7,Special Coverage 8,Special Coverage 9,Special Coverage 10,Misc Status,Unique Powerful Move,Ability Cutoff 1,Ability Cutoff 2,Ability Cutoff 3,Ability Cutoff 4,Ability Cutoff 5,Ability Cutoff 6,Best Ability,Best Ability <100,Unique Powerful Ability,oldformats,oldformat codes
Bronzong,67,89,116,79,116,33,187.0,1.3,NU,DP,2,4,0,8,1,1,2,10,2,0,0,0,0,0,3,0,0,0,0,2,10,10,7,6,4,1,7,7,6,2.0,8,8,8,7,7,4,1,6,6,6,5,4,3.0,3.0,3.0,2.0,1.0,3,0,1.0,1.0,1.0,1.0,1.0,0.0,88.88888888888889,88.88888888888889,1,NU,0
Garchomp,108,130,95,80,85,102,95.0,1.9,OU,DP,5,2,1,3,0,1,2,3,2,0,0,0,0,0,4,0,0,0,0,1,17,16,13,10,5,1,13,13,9,2.0,6,6,6,5,5,4,3,5,5,5,5,5,3.0,3.0,2.0,1.0,1.0,2,0,1.0,1.0,1.0,0.0,0.0,0.0,66.66666666666666,66.66666666666666,0,OU,3
Hippowdon,108,112,118,68,72,47,300.0,2.0,OU,DP,5,3,0,2,0,1,1,3,2,0,0,0,0,0,2,0,0,0,1,2,16,16,13,7,5,1,9,9,6,2.0,1,1,1,1,1,1,0,3,3,3,3,3,1.0,1.0,1.0,1.0,1.0,2,0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,0,OU,3
Drapion,70,90,110,60,75,95,61.5,1.3,NU,DP,2,1,0,4,0,1,2,7,1,0,0,0,0,2,4,0,1,0,0,0,15,14,10,5,2,1,13,13,9,1.0,5,5,5,5,3,1,1,6,5,5,5,5,1.0,1.0,1.0,1.0,1.0,2,0,1.0,1.0,0.0,0.0,0.0,0.0,50.0,50.0,0,NU,0
Rhyperior,115,140,130,55,55,40,282.8,2.4,RU,DP,3,4,2,4,1,1,2,2,2,0,0,0,0,0,4,0,0,0,0,2,32,31,24,16,8,1,14,14,13,4.0,13,11,11,10,10,8,4,10,10,10,10,9,6.0,6.0,3.0,1.0,1.0,2,0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,50.0,0,RU,1
Tangrowth,100,100,125,110,50,50,128.6,2.0,UU,DP,4,5,0,4,0,0,1,-1,0,0,0,0,0,2,4,0,2,2,0,5,9,8,5,4,2,2,8,8,6,2.0,5,5,5,5,5,3,2,9,7,7,6,4,3.0,3.0,3.0,1.0,1.0,4,1,1.0,1.0,1.0,1.0,1.0,1.0,100.0,50.0,0,UU,2
Mamoswine,110,130,80,70,60,80,291.0,2.5,UU,DP,4,5,0,1,0,1,2,0,2,0,0,0,0,2,2,2,0,0,0,2,16,16,13,9,6,3,9,8,6,2.0,5,3,3,3,3,3,2,4,4,4,4,3,2.0,2.0,1.0,1.0,1.0,1,0,1.0,1.0,1.0,0.0,0.0,0.0,66.66666666666666,66.66666666666666,0,UU,2
Azelf,75,125,70,125,70,115,0.3,0.3,UU,DP,4,3,0,2,0,0,1,-1,2,0,0,0,3,2,4,0,2,0,0,2,10,10,6,4,3,0,9,9,7,1.0,13,13,12,11,11,8,3,9,8,8,8,7,4.0,4.0,2.0,1.0,1.0,3,0,1.0,1.0,1.0,1.0,1.0,0.0,88.88888888888889,88.88888888888889,0,UU,2
Dialga,100,120,120,150,100,90,683.0,5.4,Uber,DP,6,2,0,8,1,1,2,12,2,0,0,0,0,0,3,0,0,0,0,2,15,14,11,10,6,1,9,9,6,2.0,15,13,13,11,11,10,4,9,9,9,9,9,6.0,6.0,4.0,2.0,1.0,3,0,1.0,1.0,1.0,0.0,0.0,0.0,73.33333333333333,73.33333333333333,0,Uber,4
Palkia,90,120,100,150,120,100,336.0,4.2,Uber,DP,6,2,0,1,2,0,2,3,0,0,0,0,0,0,3,0,0,0,0,2,17,16,12,11,6,1,10,10,6,3.0,15,13,13,12,12,11,5,9,9,9,9,9,7.0,7.0,3.0,1.0,1.0,3,1,1.0,1.0,1.0,0.0,0.0,0.0,73.33333333333333,73.33333333333333,0,Uber,4
Giratina,150,100,120,100,120,90,750.0,4.5,Uber,DP,6,5,0,6,0,2,2,9,0,1,1,0,0,0,3,2,0,0,0,2,11,11,9,8,4,2,11,11,8,3.0,13,11,11,10,10,7,1,12,12,12,12,9,4.0,3.0,2.0,1.0,1.0,3,0,1.0,1.0,1.0,0.0,0.0,0.0,73.33333333333333,73.33333333333333,0,Uber,4
Giratina-Origin,150,120,100,120,100,90,650.0,6.9,Uber,DP,6,5,0,6,0,2,2,9,0,1,1,0,0,0,3,2,0,0,0,2,11,11,9,8,4,2,11,11,8,3.0,13,11,11,10,10,7,1,12,12,12,12,9,4.0,3.0,2.0,1.0,1.0,3,0,1.0,1.0,1.0,1.0,1.0,0.0,88.88888888888889,88.88888888888889,0,Uber,4
Seismitoad,105,95,75,85,75,74,62.0,1.5,RU,BW,3,0,1,4,0,1,2,6,2,0,0,0,0,2,2,0,2,0,0,5,12,11,7,6,3,2,10,10,9,3.0,10,8,8,8,8,6,4,7,6,6,6,5,3.0,3.0,2.0,1.0,1.0,1,0,1.0,1.0,1.0,0.0,0.0,0.0,66.66666666666666,66.66666666666666,0,RU,1
Krookodile,95,117,80,65,70,92,96.3,1.5,UU,BW,4,6,0,4,0,2,2,6,2,0,0,0,0,2,3,0,0,0,0,0,27,26,19,13,8,2,13,13,8,3.0,7,7,7,6,5,3,1,7,7,7,7,6,2.0,2.0,2.0,1.0,1.0,2,0,1.0,1.0,1.0,1.0,0.0,0.0,80.0,80.0,0,UU,2
Ferrothorn,74,94,131,54,116,20,110.0,1.0,OU,BW,5,1,1,8,1,1,2,11,3,0,0,0,0,2,4,0,2,0,0,2,11,11,9,6,4,1,11,9,5,3.0,6,6,6,5,5,2,0,5,5,4,4,4,3.0,3.0,2.0,2.0,1.0,3,0,1.0,1.0,1.0,0.0,0.0,0.0,66.66666666666666,66.66666666666666,0,OU,3
Chandelure,60,55,90,145,90,80,34.3,1.0,RU,BW,3,5,0,6,1,2,2,11,0,0,1,0,0,0,3,0,0,0,0,1,2,2,1,1,1,1,4,4,2,2.0,11,11,11,11,10,7,4,8,8,8,7,6,3.0,2.0,2.0,1.0,1.0,3,0,1.0,1.0,1.0,1.0,0.0,0.0,80.0,80.0,0,RU,1
Volcarona,85,60,65,135,105,100,46.0,1.6,OU,BW,5,2,1,5,1,0,2,3,0,1,0,0,3,0,5,0,2,1,0,3,8,8,6,4,1,1,7,7,6,2.0,8,8,8,8,6,6,4,6,5,5,5,5,3.0,3.0,2.0,1.0,1.0,3,0,1.0,1.0,1.0,1.0,0.0,0.0,80.0,80.0,0,OU,3
Excadrill,110,135,60,50,65,88,40.4,0.7,OU,BW,5,4,0,7,1,2,2,13,2,1,0,0,0,0,4,0,0,0,0,5,13,12,9,5,1,1,10,10,7,1.0,4,4,4,3,3,3,1,5,5,5,5,5,3.0,3.0,3.0,2.0,1.0,1,0,1.0,1.0,1.0,1.0,1.0,0.0,83.33333333333334,83.33333333333334,0,OU,3
Conkeldurr,105,140,95,55,65,45,87.0,1.4,UU,BW,4,3,0,3,0,0,1,0,0,1,0,0,0,2,5,2,2,0,0,0,19,18,11,8,4,2,9,9,8,2.0,2,2,2,2,2,1,0,2,2,2,2,2,2.0,2.0,2.0,1.0,1.0,2,0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,55.55555555555556,0,UU,2
Darmanitan,105,140,55,30,55,95,92.9,1.3,RU,BW,3,3,0,6,0,0,1,3,0,0,0,0,3,0,3,0,0,0,0,1,18,17,11,7,4,2,8,8,8,3.0,9,9,9,9,8,7,3,4,4,4,4,4,4.0,4.0,4.0,1.0,1.0,3,0,1.0,1.0,0.0,0.0,0.0,0.0,55.55555555555556,55.55555555555556,0,RU,1
Zoroark,60,105,60,120,60,105,81.1,1.6,NU,BW,2,3,0,2,0,1,1,3,0,0,0,0,3,2,4,2,0,0,0,0,7,7,4,2,1,0,7,7,4,1.0,9,8,8,8,7,4,2,7,7,7,7,7,2.0,2.0,2.0,1.0,1.0,3,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,NU,0
Reuniclus,110,65,75,125,85,30,20.1,1.0,RU,BW,3,3,0,2,0,0,1,-1,0,0,0,0,0,2,3,0,2,2,0,2,12,12,7,4,2,0,9,8,8,3.0,10,10,9,9,9,5,1,8,7,7,7,7,4.0,4.0,3.0,1.0,1.0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,40.0,0,RU,1
Escavalier,70,135,105,60,105,20,33.0,1.0,NU,BW,2,0,1,7,1,1,2,11,0,0,0,0,0,2,4,0,2,0,0,0,8,8,6,4,2,1,9,9,7,3.0,4,4,4,3,2,1,0,6,6,5,5,5,3.0,3.0,3.0,2.0,1.0,2,0,1.0,1.0,0.0,0.0,0.0,0.0,50.0,50.0,0,NU,0
Amoonguss,114,85,70,85,80,30,10.5,0.6,UU,BW,4,4,0,4,1,0,2,2,0,0,0,0,0,0,3,0,2,2,0,2,3,3,1,1,1,0,6,4,4,1.0,5,5,5,5,5,3,2,5,5,5,5,4,1.0,1.0,1.0,1.0,1.0,5,0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,50.0,0,UU,2
Mienshao,65,125,60,95,60,105,35.5,1.4,RU,BW,3,3,0,3,0,0,1,0,0,0,0,0,3,2,4,1,2,2,0,0,12,11,6,4,2,1,9,9,7,2.0,3,3,3,3,3,2,0,2,2,2,2,2,2.0,2.0,2.0,1.0,1.0,2,0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,12.5,0,RU,1
Golurk,89,124,80,55,80,55,330.0,2.8,NU,BW,2,5,0,2,1,3,2,11,2,0,1,0,0,0,2,0,2,0,0,1,24,23,15,11,9,3,11,11,11,3.0,9,8,8,8,8,5,1,8,8,8,8,8,2.0,2.0,2.0,1.0,1.0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,33.33333333333333,0,NU,0
Bisharp,65,125,100,60,70,70,70.0,1.6,OU,BW,5,2,1,9,0,2,2,13,2,0,2,0,0,2,4,2,0,0,0,0,14,13,8,6,2,0,12,12,8,1.0,6,6,6,5,4,2,0,5,5,5,5,4,3.0,3.0,3.0,2.0,1.0,3,0,1.0,1.0,1.0,0.0,0.0,0.0,73.33333333333333,73.33333333333333,0,OU,3
Braviary,100,123,75,57,75,80,41.0,1.5,NU,BW,2,3,0,2,0,2,2,7,0,1,2,0,3,0,3,0,0,1,0,3,11,11,7,5,2,2,8,8,6,3.0,3,3,3,3,2,2,1,3,3,3,3,3,2.0,2.0,1.0,1.0,1.0,2,0,1.0,1.0,1.0,0.0,0.0,0.0,66.66666666666666,66.66666666666666,0,NU,0
Mandibuzz,110,65,105,55,95,80,39.5,1.2,OU,BW,5,4,0,3,0,2,2,7,0,1,0,0,3,2,4,0,0,1,0,0,6,6,3,3,2,1,6,6,3,2.0,5,5,5,5,3,1,0,5,5,5,5,4,1.0,1.0,1.0,1.0,1.0,2,0,1.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,0,OU,3
Hydreigon,92,105,90,125,90,98,160.0,1.8,OU,BW,5,4,1,6,0,1,2,4,0,1,0,0,3,0,4,0,0,1,0,0,21,21,16,11,5,1,14,13,10,4.0,14,13,13,11,9,6,4,10,10,10,10,9,6.0,6.0,4.0,1.0,1.0,3,0,1.0,1.0,1.0,1.0,1.0,0.0,88.88888888888889,88.88888888888889,0,OU,3
Cobalion,91,90,129,90,72,108,250.0,2.1,RU,BW,3,3,0,6,2,1,2,11,2,0,0,0,3,0,4,1,0,0,0,0,13,12,9,6,4,1,8,8,8,3.0,4,4,4,3,3,2,0,4,4,4,4,3,3.0,3.0,3.0,2.0,1.0,3,0,1.0,1.0,1.0,0.0,0.0,0.0,66.66666666666666,66.66666666666666,0,RU,1
Tornadus-Therian,79,100,80,110,90,121,63.0,1.4,OU,BW,5,3,0,3,0,1,1,4,0,1,0,0,3,2,4,0,0,2,0,3,10,9,5,2,2,0,7,6,5,2.0,10,9,9,9,8,6,3,8,8,8,8,7,3.0,3.0,2.0,1.0,1.0,2,0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,0,OU,3
Thundurus-Therian,79,105,70,145,80,101,61.0,3.0,UU,BW,4,2,0,5,0,1,2,7,0,1,0,0,3,2,4,0,0,0,0,2,12,11,6,3,2,0,8,7,6,2.0,10,10,10,10,10,7,2,8,8,8,8,7,3.0,3.0,2.0,1.0,1.0,3,0,1.0,1.0,1.0,0.0,0.0,0.0,66.66666666666666,66.66666666666666,0,UU,2
Reshiram,100,120,100,150,120,90,330.0,3.2,Uber,BW,6,3,0,3,2,0,2,4,0,1,0,0,0,0,4,0,0,1,0,2,16,16,13,11,7,1,10,10,8,3.0,12,11,11,10,9,8,4,8,8,8,8,7,4.0,4.0,4.0,1.0,1.0,3,1,1.0,1.0,1.0,1.0,1.0,0.0,83.33333333333334,83.33333333333334,0,Uber,4
Zekrom,100,150,120,120,100,90,345.0,2.9,Uber,BW,6,4,0,5,1,0,2,3,0,1,0,0,3,0,4,0,0,1,0,2,16,16,12,10,5,0,10,10,8,2.0,10,9,9,8,8,6,1,9,9,9,9,8,4.0,4.0,3.0,1.0,1.0,3,1,1.0,1.0,1.0,1.0,1.0,0.0,83.33333333333334,83.33333333333334,0,Uber,4
Landorus,89,125,90,115,80,101,68.0,1.5,Uber,BW,6,1,1,3,0,2,2,8,2,1,0,0,3,2,4,0,0,0,0,2,13,12,8,5,3,1,8,8,7,3.0,6,6,6,6,6,5,2,5,5,5,5,5,2.0,2.0,2.0,1.0,1.0,1,0,1.0,1.0,0.0,0.0,0.0,0.0,55.55555555555556,55.55555555555556,0,Uber,4
Landorus-Therian,89,145,90,105,80,91,68.0,1.3,OU,BW,5,1,1,3,0,2,2,8,2,1,0,0,3,2,4,0,0,0,0,2,13,12,8,5,3,1,8,8,7,3.0,6,6,6,6,6,5,2,5,5,5,5,5,2.0,2.0,2.0,1.0,1.0,1,0,1.0,1.0,1.0,0.0,0.0,0.0,71.42857142857143,71.42857142857143,0,OU,3
Kyurem,125,130,90,130,90,95,325.0,3.0,OU,BW,5,5,0,3,0,0,2,-2,0,0,0,0,0,0,4,0,0,1,0,2,14,14,11,10,5,1,10,9,7,2.0,12,9,9,8,8,6,3,9,9,9,9,8,4.0,4.0,3.0,1.0,1.0,2,0,1.0,1.0,1.0,0.0,0.0,0.0,73.33333333333333,73.33333333333333,0,OU,3
Kyurem-Black,125,170,100,120,90,95,325.0,3.3,Uber,BW,6,5,0,3,0,0,2,-2,0,0,0,0,0,0,4,0,0,1,0,2,14,14,11,10,5,1,10,9,7,2.0,12,9,9,8,8,6,3,9,9,9,9,8,4.0,4.0,3.0,1.0,1.0,2,0,1.0,1.0,1.0,1.0,1.0,0.0,83.33333333333334,83.33333333333334,0,Uber,4
Kyurem-White,125,120,90,170,100,95,325.0,3.6,Uber,BW,6,5,0,3,0,0,2,-2,0,0,0,0,0,0,4,0,0,1,0,2,14,14,11,10,5,1,10,9,7,2.0,12,9,9,8,8,6,3,9,9,9,9,8,4.0,4.0,3.0,1.0,1.0,2,0,1.0,1.0,1.0,1.0,1.0,0.0,83.33333333333334,83.33333333333334,0,Uber,4
Keldeo,91,72,90,129,90,108,48.5,1.4,UU,BW,4,5,0,7,0,0,2,2,0,0,0,0,3,0,4,2,0,0,0,0,13,12,9,6,4,1,8,8,7,3.0,7,6,6,6,6,5,2,5,5,5,5,3,3.0,3.0,2.0,1.0,1.0,2,1,1.0,1.0,1.0,0.0,0.0,0.0,66.66666666666666,66.66666666666666,0,UU,2
Genesect,71,120,95,120,95,99,82.5,1.5,Uber,BW,6,0,1,7,1,1,2,11,0,0,0,0,3,0,4,2,2,0,0,2,8,8,4,2,1,0,9,9,7,2.0,12,11,11,9,8,5,2,9,9,9,9,9,4.0,4.0,3.0,2.0,1.0,3,0,1.0,1.0,0.0,0.0,0.0,0.0,50.0,50.0,0,Uber,4
Zygarde,108,100,121,81,95,95,305.0,5.0,Uber,XY,6,2,1,3,0,1,2,3,0,0,0,0,0,0,4,2,0,0,0,0,13,12,9,7,4,1,9,9,8,3.0,7,6,6,5,5,4,2,6,6,6,6,5,3.0,3.0,3.0,1.0,1.0,4,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,Uber,4
Aegislash,60,50,140,50,140,60,53.0,1.7,UU,XY,4,4,0,8,1,3,2,18,0,0,1,0,0,0,4,2,0,0,0,2,10,9,8,5,3,1,9,9,4,3.0,4,4,4,3,3,1,0,5,5,5,5,3,2.0,2.0,2.0,2.0,1.0,4,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,UU,2
Hawlucha,78,92,75,74,63,118,21.5,0.8,OU,XY,5,5,0,3,1,1,2,4,0,1,0,0,3,0,4,0,2,1,0,0,22,21,13,10,4,2,13,13,12,3.0,2,2,2,2,2,1,0,2,2,2,2,1,1.0,1.0,1.0,0.0,0.0,2,0,1.0,1.0,1.0,1.0,1.0,0.0,83.33333333333334,83.33333333333334,1,OU,3
Noivern,85,70,80,97,80,123,85.0,1.5,RU,XY,3,3,1,4,1,1,2,5,0,1,0,0,3,0,4,0,1,1,0,3,9,8,6,4,1,0,9,9,7,3.0,12,11,11,10,9,7,4,10,9,9,9,8,5.0,4.0,3.0,1.0,1.0,2,0,1.0,1.0,0.0,0.0,0.0,0.0,60.0,60.0,0,RU,1
Talonflame,78,81,71,74,69,126,24.5,1.2,NU,XY,2,2,1,4,2,1,2,8,0,1,0,0,3,0,4,3,0,1,0,3,5,5,4,3,2,2,5,5,3,3.0,5,5,5,5,4,4,3,3,3,3,3,3,3.0,3.0,2.0,1.0,1.0,3,0,1.0,1.0,1.0,1.0,0.0,0.0,80.0,80.0,1,NU,0
Doublade,59,110,150,45,49,35,4.5,0.8,RU,XY,3,4,0,8,1,3,2,18,0,0,1,0,0,0,4,2,0,0,0,2,9,8,7,4,2,1,9,9,3,1.0,2,2,2,1,1,0,0,3,3,3,3,1,1.0,1.0,1.0,1.0,0.0,2,0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,0,RU,1
Dragalge,65,75,90,97,123,44,81.5,1.8,NU,XY,2,4,0,6,1,0,2,4,1,0,0,0,3,0,2,0,0,0,0,2,7,7,6,4,2,0,7,7,7,3.0,12,11,11,10,10,8,5,8,8,8,8,7,5.0,5.0,3.0,1.0,1.0,2,0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,0,NU,0
Tyrantrum,82,121,119,69,59,71,270.0,2.5,NU,XY,2,6,0,4,1,0,2,0,2,0,0,0,0,0,4,0,0,0,0,0,25,24,19,14,9,2,14,14,9,4.0,5,4,4,3,3,2,1,5,5,5,5,4,2.0,2.0,2.0,1.0,1.0,2,0,1.0,1.0,0.0,0.0,0.0,0.0,50.0,50.0,0,NU,0
Sylveon,95,65,65,110,130,60,23.5,1.0,NU,XY,2,2,0,3,0,1,1,5,0,0,0,2,0,0,3,1,1,0,0,2,3,3,1,1,1,0,6,5,4,1.0,7,6,5,5,5,4,3,7,6,6,6,4,1.0,1.0,1.0,1.0,1.0,2,0,1.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,33.33333333333333,1,NU,0
Goodra,90,100,70,110,150,80,150.5,2.0,NU,XY,2,3,0,4,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,2,13,13,8,7,3,2,13,13,10,4.0,13,12,12,11,11,10,7,11,9,9,9,8,7.0,7.0,3.0,1.0,1.0,2,0,1.0,1.0,0.0,0.0,0.0,0.0,50.0,50.0,0,NU,0
Klefki,57,80,91,80,87,75,3.0,0.2,RU,XY,3,2,0,8,1,2,2,16,3,1,0,0,0,0,3,3,1,0,0,0,3,3,2,2,2,0,4,3,3,1.0,6,6,5,4,4,3,1,4,4,4,4,4,2.0,2.0,2.0,2.0,1.0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,0,RU,1
Xerneas,126,131,95,131,98,99,215.0,3.0,Uber,XY,6,2,0,3,0,1,1,5,0,1,0,1,0,0,5,0,3,0,0,2,9,9,6,5,3,1,9,9,7,4.0,10,9,9,9,9,7,2,7,7,7,7,6,3.0,3.0,2.0,1.0,1.0,3,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,Uber,4
Yveltal,126,131,95,131,98,99,203.0,5.8,Uber,XY,6,4,0,3,0,2,2,7,0,1,0,0,3,2,2,2,4,1,0,3,9,9,6,4,2,0,8,8,7,2.0,9,8,8,8,6,4,1,7,7,7,7,7,4.0,3.0,2.0,1.0,1.0,2,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,Uber,4
Diancie,50,100,150,100,150,50,8.8,0.7,NU,XY,2,3,1,5,0,1,2,4,2,0,0,1,0,0,3,0,1,0,0,2,10,10,7,5,4,0,5,4,4,1.0,8,8,7,7,7,7,3,6,6,6,6,5,1.0,1.0,1.0,1.0,1.0,2,1,1.0,1.0,1.0,0.0,0.0,0.0,66.66666666666666,66.66666666666666,0,NU,0
Volcanion,80,110,120,130,90,70,195.0,1.7,RU,XY,3,3,0,2,3,0,2,5,0,1,0,0,0,0,3,0,0,0,0,2,16,15,12,9,7,2,7,7,6,3.0,11,11,11,11,10,9,6,7,7,7,7,7,4.0,4.0,3.0,1.0,1.0,3,1,1.0,1.0,0.0,0.0,0.0,0.0,57.14285714285714,57.14285714285714,0,RU,1
Tapu Koko,70,115,85,95,75,130,20.5,1.8,OU,SM,5,2,0,5,0,1,2,7,0,1,0,0,3,0,3,1,0,1,1,2,7,7,4,3,1,1,5,5,4,2.0,7,6,5,5,5,4,0,4,3,3,3,3,2.0,2.0,1.0,1.0,1.0,3,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,OU,3
Tapu Lele,70,85,75,130,115,95,18.6,1.2,OU,SM,5,3,0,1,1,1,2,4,0,0,0,1,0,0,3,0,1,0,1,2,3,3,2,1,1,0,5,4,2,1.0,12,12,11,11,11,8,2,7,7,7,7,7,4.0,4.0,3.0,1.0,1.0,2,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,OU,3
Tapu Bulu,70,130,115,85,95,75,45.5,1.9,UU,SM,4,4,1,6,0,1,2,4,0,0,0,0,0,0,4,0,3,0,1,1,15,14,10,6,5,2,10,10,8,4.0,6,6,5,5,4,2,0,6,5,5,5,4,2.0,2.0,2.0,1.0,1.0,2,0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,0,UU,2
Tapu Fini,70,75,115,95,130,85,21.2,1.3,OU,SM,5,3,0,6,0,1,2,7,0,1,0,0,0,2,3,0,1,0,1,1,5,5,4,2,2,0,5,5,4,1.0,11,9,8,8,8,5,4,6,5,5,5,5,3.0,3.0,1.0,1.0,1.0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,0,OU,3
Ninetales-Alola,73,67,75,81,100,109,19.9,1.1,UU,SM,4,3,1,3,0,1,2,2,0,0,0,1,0,0,4,2,1,0,1,2,5,5,2,2,2,0,7,7,6,1.0,10,8,7,7,7,6,4,6,6,6,6,5,3.0,2.0,1.0,1.0,1.0,2,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,UU,2
Marowak-Alola,60,80,110,50,80,45,34.0,1.0,RU,SM,3,5,0,6,1,2,2,11,2,0,1,0,0,2,4,0,0,0,0,2,19,18,10,10,4,3,12,12,10,5.0,13,11,11,11,10,8,3,11,11,11,11,9,6.0,5.0,2.0,1.0,1.0,3,1,1.0,1.0,0.0,0.0,0.0,0.0,50.0,50.0,0,RU,1
Decidueye,78,107,75,100,100,70,36.6,1.6,NU,SM,2,5,0,4,0,2,2,7,0,1,1,0,3,2,4,2,2,1,0,3,9,9,7,4,3,3,9,9,4,3.0,7,7,7,7,7,4,2,4,4,4,4,4,3.0,3.0,2.0,1.0,1.0,2,1,1.0,1.0,0.0,0.0,0.0,0.0,50.0,50.0,1,NU,0
Incineroar,95,115,90,80,90,60,83.0,1.8,RU,SM,3,4,0,6,0,1,2,6,0,0,0,0,3,2,4,1,2,0,0,0,21,20,14,10,6,3,10,10,8,4.0,7,7,7,7,5,4,2,5,5,5,5,4,3.0,3.0,3.0,1.0,1.0,3,0,1.0,1.0,1.0,0.0,0.0,0.0,71.42857142857143,71.42857142857143,0,RU,1
Primarina,80,74,74,126,116,60,44.0,1.8,UU,SM,4,3,0,6,0,1,2,7,0,0,0,0,3,0,3,2,1,0,0,2,6,6,5,3,2,0,6,5,4,1.0,13,10,9,9,9,6,4,7,7,7,7,7,3.0,3.0,2.0,2.0,2.0,2,0,1.0,1.0,1.0,1.0,0.0,0.0,75.0,75.0,0,UU,2
Lycanroc-Dusk,75,117,65,55,65,110,25.0,0.8,UU,SM,4,5,0,4,0,0,1,-1,2,0,0,0,0,0,4,2,0,0,0,0,15,14,11,9,5,1,11,11,9,3.0,3,2,2,2,1,1,0,3,3,3,3,2,0.0,0.0,0.0,0.0,0.0,2,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,UU,2
Toxapex,50,63,152,53,142,35,14.5,0.7,OU,SM,5,3,0,8,0,0,2,5,1,0,0,0,0,2,0,0,0,2,0,1,4,4,2,2,0,0,7,5,2,1.0,9,7,7,7,7,6,5,7,6,6,6,3,2.0,2.0,0.0,0.0,0.0,4,0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,0,OU,3
Mudsdale,100,125,100,55,85,35,920.0,2.5,NU,SM,2,3,0,2,0,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,14,14,9,6,4,2,6,6,6,2.0,2,2,2,2,2,2,0,3,3,3,3,3,2.0,2.0,2.0,1.0,1.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,12.5,12.5,1,NU,0
Araquanid,68,70,92,50,132,42,82.0,1.8,NU,SM,2,3,0,5,0,0,2,2,4,0,0,0,0,0,0,0,2,0,0,1,8,8,6,4,2,1,5,5,4,0.0,7,5,5,5,4,3,3,4,4,4,4,3,2.0,2.0,0.0,0.0,0.0,1,0,1.0,1.0,0.0,0.0,0.0,0.0,57.14285714285714,57.14285714285714,1,NU,0
Salazzle,68,64,60,111,60,117,22.2,1.2,NU,SM,2,3,1,5,3,0,2,6,0,0,0,0,0,2,4,1,1,0,0,0,10,10,9,7,4,1,9,9,5,2.0,7,7,7,6,5,5,4,5,4,4,4,3,2.0,2.0,2.0,0.0,0.0,3,0,1.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,1,NU,0
Comfey,51,52,90,82,110,100,0.3,0.1,NU,SM,2,2,0,3,0,1,1,5,0,1,0,1,3,0,3,3,2,0,0,2,4,4,3,1,1,0,5,5,2,0.0,4,4,3,3,3,1,0,5,4,4,4,4,2.0,2.0,2.0,1.0,1.0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,0,NU,0
