name,Bug,Dark,Dragon,Electric,Fairy,Fighting,Fire,Flying,Ghost,Grass,Ground,Ice,Normal,Poison,Psychic,Rock,Steel,Water
Escavalier,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Amoonguss,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Mienshao,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Golurk,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Bisharp,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Braviary,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Mandibuzz,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Hydreigon,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cobalion,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Tornadus-Therian,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Thundurus-Therian,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Reshiram,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Zekrom,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Landorus,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Landorus-Therian,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Kyurem,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Kyurem-Black,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Kyurem-White,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Keldeo,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Genesect,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Zygarde,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Aegislash,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Hawlucha,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Noivern,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Talonflame,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Doublade,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Dragalge,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Tyrantrum,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Sylveon,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Goodra,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klefki,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Xerneas,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Yveltal,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Diancie,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Volcanion,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Tapu Koko,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tapu Lele,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Tapu Bulu,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Tapu Fini,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Ninetales-Alola,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Marowak-Alola,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Decidueye,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Incineroar,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Primarina,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Lycanroc-Dusk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Toxapex,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Mudsdale,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Araquanid,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Salazzle,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Comfey,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Golisopod,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mimikyu,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Dhelmise,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Kommo-o,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Solgaleo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Lunala,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Nihilego,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Buzzwole,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Pheromosa,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Xurkitree,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Celesteela,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Kartana,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Necrozma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Necrozma-Dusk Mane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Necrozma-Dawn Wings,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Magearna,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Marshadow,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Naganadel,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Stakataka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Zeraora,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Melmetal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Weezing-Galar,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Articuno-Galar,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Moltres-Galar,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Slowking-Galar,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Darmanitan-Galar,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Rillaboom,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cinderace,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Inteleon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Corviknight,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Barraskewda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Toxtricity,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Hatterene,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Grimmsnarl,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Obstagoon,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Sirfetch'd,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Copperajah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Arctozolt,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Dracovish,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Dragapult,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Zamazenta,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Zamazenta-Crowned,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Eternatus,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Urshifu,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Urshifu-Rapid-Strike,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Zarude,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Regieleki,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Regidrago,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glastrier,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Spectrier,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Calyrex-Ice,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Calyrex-Shadow,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
