name,hp,atk,def,spa,spd,spe,weight,height,formats,generation
Drapion,70,90,110,60,75,95,61.5,1.3,NU,DP
Rhyperior,115,140,130,55,55,40,282.8,2.4,RU,DP
Tangrowth,100,100,125,110,50,50,128.6,2.0,UU,DP
Mamoswine,110,130,80,70,60,80,291.0,2.5,UU,DP
Azelf,75,125,70,125,70,115,0.3,0.3,UU,DP
Dialga,100,120,120,150,100,90,683.0,5.4,Uber,DP
Palkia,90,120,100,150,120,100,336.0,4.2,Uber,DP
Giratina,150,100,120,100,120,90,750.0,4.5,Uber,DP
Giratina-Origin,150,120,100,120,100,90,650.0,6.9,Uber,DP
Seismitoad,105,95,75,85,75,74,62.0,1.5,RU,BW
Krookodile,95,117,80,65,70,92,96.3,1.5,UU,BW
Ferrothorn,74,94,131,54,116,20,110.0,1.0,OU,BW
Chandelure,60,55,90,145,90,80,34.3,1.0,RU,BW
Volcarona,85,60,65,135,105,100,46.0,1.6,OU,BW
Excadrill,110,135,60,50,65,88,40.4,0.7,OU,BW
Conkeldurr,105,140,95,55,65,45,87.0,1.4,UU,BW
Darmanitan,105,140,55,30,55,95,92.9,1.3,RU,BW
Zoroark,60,105,60,120,60,105,81.1,1.6,NU,BW
Reuniclus,110,65,75,125,85,30,20.1,1.0,RU,BW
Escavalier,70,135,105,60,105,20,33.0,1.0,NU,BW
Amoonguss,114,85,70,85,80,30,10.5,0.6,UU,BW
Mienshao,65,125,60,95,60,105,35.5,1.4,RU,BW
Golurk,89,124,80,55,80,55,330.0,2.8,NU,BW
Bisharp,65,125,100,60,70,70,70.0,1.6,OU,BW
Braviary,100,123,75,57,75,80,41.0,1.5,NU,BW
Mandibuzz,110,65,105,55,95,80,39.5,1.2,OU,BW
Hydreigon,92,105,90,125,90,98,160.0,1.8,OU,BW
Cobalion,91,90,129,90,72,108,250.0,2.1,RU,BW
Tornadus-Therian,79,100,80,110,90,121,63.0,1.4,OU,BW
Thundurus-Therian,79,105,70,145,80,101,61.0,3.0,UU,BW
Reshiram,100,120,100,150,120,90,330.0,3.2,Uber,BW
Zekrom,100,150,120,120,100,90,345.0,2.9,Uber,BW
Landorus,89,125,90,115,80,101,68.0,1.5,Uber,BW
Landorus-Therian,89,145,90,105,80,91,68.0,1.3,OU,BW
Kyurem,125,130,90,130,90,95,325.0,3.0,OU,BW
Kyurem-Black,125,170,100,120,90,95,325.0,3.3,Uber,BW
Kyurem-White,125,120,90,170,100,95,325.0,3.6,Uber,BW
Keldeo,91,72,90,129,90,108,48.5,1.4,UU,BW
Genesect,71,120,95,120,95,99,82.5,1.5,Uber,BW
Zygarde,108,100,121,81,95,95,305.0,5.0,Uber,XY
Aegislash,60,50,140,50,140,60,53.0,1.7,UU,XY
Hawlucha,78,92,75,74,63,118,21.5,0.8,OU,XY
Noivern,85,70,80,97,80,123,85.0,1.5,RU,XY
Talonflame,78,81,71,74,69,126,24.5,1.2,NU,XY
Doublade,59,110,150,45,49,35,4.5,0.8,RU,XY
Dragalge,65,75,90,97,123,44,81.5,1.8,NU,XY
Tyrantrum,82,121,119,69,59,71,270.0,2.5,NU,XY
Sylveon,95,65,65,110,130,60,23.5,1.0,NU,XY
Goodra,90,100,70,110,150,80,150.5,2.0,NU,XY
Klefki,57,80,91,80,87,75,3.0,0.2,RU,XY
Xerneas,126,131,95,131,98,99,215.0,3.0,Uber,XY
Yveltal,126,131,95,131,98,99,203.0,5.8,Uber,XY
Diancie,50,100,150,100,150,50,8.8,0.7,NU,XY
Volcanion,80,110,120,130,90,70,195.0,1.7,RU,XY
Tapu Koko,70,115,85,95,75,130,20.5,1.8,OU,SM
Tapu Lele,70,85,75,130,115,95,18.6,1.2,OU,SM
Tapu Bulu,70,130,115,85,95,75,45.5,1.9,UU,SM
Tapu Fini,70,75,115,95,130,85,21.2,1.3,OU,SM
Ninetales-Alola,73,67,75,81,100,109,19.9,1.1,UU,SM
Marowak-Alola,60,80,110,50,80,45,34.0,1.0,RU,SM
Decidueye,78,107,75,100,100,70,36.6,1.6,NU,SM
Incineroar,95,115,90,80,90,60,83.0,1.8,RU,SM
Primarina,80,74,74,126,116,60,44.0,1.8,UU,SM
Lycanroc-Dusk,75,117,65,55,65,110,25.0,0.8,UU,SM
Toxapex,50,63,152,53,142,35,14.5,0.7,OU,SM
Mudsdale,100,125,100,55,85,35,920.0,2.5,NU,SM
Araquanid,68,70,92,50,132,42,82.0,1.8,NU,SM
Salazzle,68,64,60,111,60,117,22.2,1.2,NU,SM
Comfey,51,52,90,82,110,100,0.3,0.1,NU,SM
Golisopod,75,125,140,60,90,40,108.0,2.0,RU,SM
Mimikyu,55,90,80,50,105,96,0.7,0.2,RU,SM
Dhelmise,70,131,100,86,90,40,210.0,3.9,NU,SM
Kommo-o,75,110,125,100,105,85,78.2,1.6,UU,SM
Solgaleo,137,137,107,113,89,97,230.0,3.4,Uber,SM
Lunala,137,113,89,137,107,97,120.0,4.0,Uber,SM
Nihilego,109,53,47,127,131,103,55.5,1.2,UU,SM
Buzzwole,107,139,139,53,53,79,333.6,2.4,UU,SM
Pheromosa,71,137,37,137,37,151,25.0,1.8,Uber,SM
Xurkitree,83,89,71,173,71,83,100.0,3.8,RU,SM
Celesteela,97,101,103,107,101,61,999.9,9.2,UU,SM
Kartana,59,181,131,59,31,109,0.1,0.3,OU,SM
Necrozma,97,107,101,127,89,79,230.0,2.4,RU,SM
Necrozma-Dusk Mane,97,157,127,113,109,77,460.0,3.8,Uber,SM
Necrozma-Dawn Wings,97,113,109,157,127,77,350.0,4.2,Uber,SM
Magearna,80,95,115,130,115,65,80.5,1.0,Uber,SM
Marshadow,90,125,80,90,90,125,22.2,0.7,Uber,SM
Naganadel,73,73,73,127,73,121,150.0,3.6,Uber,SM
Stakataka,61,131,211,53,101,13,820.0,5.5,RU,SM
Zeraora,88,112,75,102,80,143,44.5,1.5,OU,SM
Melmetal,135,143,143,80,65,34,800.0,2.5,OU,SM
Weezing-Galar,65,90,120,85,70,60,16.0,3.0,RU,SS
Articuno-Galar,90,85,85,125,100,95,50.9,1.7,NU,SS
Moltres-Galar,90,85,90,100,125,90,66.0,2.0,UU,SS
Slowking-Galar,95,65,80,110,110,30,79.5,1.8,OU,SS
Darmanitan-Galar,105,140,55,30,55,95,120.0,1.7,Uber,SS
Rillaboom,100,125,90,60,70,85,90.0,2.1,OU,SS
Cinderace,80,116,75,65,75,119,33.0,1.4,Uber,SS
Inteleon,70,85,65,125,65,120,45.2,1.9,NU,SS
Corviknight,98,87,105,53,85,67,75.0,2.2,OU,SS
Barraskewda,61,123,60,60,50,136,30.0,1.3,RU,SS
Toxtricity,75,98,70,114,70,75,40.0,1.6,RU,SS
Hatterene,57,90,95,136,103,29,5.1,2.1,UU,SS
Grimmsnarl,95,120,65,95,75,60,61.0,1.5,UU,SS
Obstagoon,93,90,101,60,81,95,46.0,1.6,RU,SS
Sirfetch'd,62,135,95,68,82,65,117.0,0.8,NU,SS
Copperajah,122,130,69,80,69,30,650.0,3.0,NU,SS
Arctozolt,90,100,90,90,80,55,150.0,2.3,NU,SS
Dracovish,90,90,100,70,80,75,215.0,2.3,Uber,SS
Dragapult,88,120,75,100,75,142,50.0,3.0,OU,SS
Zamazenta,92,130,115,80,115,138,210.0,2.9,Uber,SS
Zamazenta-Crowned,92,130,145,80,145,128,785.0,2.9,Uber,SS
Eternatus,140,85,95,145,95,130,950.0,20.0,Uber,SS
Urshifu,100,130,100,63,60,97,105.0,1.9,Uber,SS
Urshifu-Rapid-Strike,100,130,100,63,60,97,105.0,1.9,OU,SS
Zarude,105,120,105,70,95,105,70.0,1.8,RU,SS
Regieleki,80,100,50,100,50,200,145.0,1.2,OU,SS
Regidrago,200,100,50,100,50,80,200.0,2.1,RU,SS
Glastrier,100,145,130,65,110,30,800.0,2.2,NU,SS
Spectrier,100,65,60,145,80,130,44.5,2.0,Uber,SS
Calyrex-Ice,100,165,150,85,130,50,809.1,2.4,Uber,SS
Calyrex-Shadow,100,85,80,165,100,150,53.6,2.4,Uber,SS
