name,hp,atk,def,spa,spd,spe,Resistance Index,Entry Hazards,Cleric,Pivot,Item Removal,Setup,Priority,Weather Gimmick,Physical Cutoff 3,Physical Coverage 3,Special Cutoff 3,Special Coverage 5,Misc Status,Unique Powerful Move,Best Ability,HP Recovery,stats,learnsets,formats,formats2
Quagsire,95,85,85,65,65,35,6,0,0,0,0,2,0,1,9,7,9,6,2,0,53.84615384615385,3,2,9,OU,Yes
Espeon,65,65,60,130,95,110,-1,0,2,0,0,3,1,2,2,4,8,5,3,0,100.0,3,4,8,NU,Yes
Umbreon,95,65,110,60,130,65,3,0,2,0,0,2,2,2,3,4,6,5,2,0,27.27272727272727,3,0,8,UU,Yes
Slowking,95,75,80,100,110,30,1,0,0,1,0,4,0,2,7,8,16,10,3,0,100.0,4,2,9,OU,Yes
Steelix,75,85,200,55,65,30,13,2,0,0,0,4,0,1,16,8,6,5,2,0,57.14285714285714,0,0,2,RU,Yes
Scizor,70,130,100,55,80,65,11,0,0,3,2,4,3,0,6,4,4,3,4,0,54.54545454545454,3,0,3,OU,Yes
Heracross,80,125,75,40,95,85,0,3,0,0,2,5,2,0,11,6,1,2,0,0,100.0,0,2,4,RU,Yes
Skarmory,65,80,140,40,70,70,16,3,0,0,0,4,0,0,6,6,4,2,4,0,57.14285714285714,3,0,3,Uber,Yes
Porygon2,85,80,90,105,95,60,3,0,0,1,0,3,0,2,2,4,9,5,3,0,100.0,3,3,12,RU,Yes
Blissey,255,10,10,75,135,55,3,2,3,1,0,3,0,2,9,9,14,8,3,0,100.0,3,2,11,Uber,Yes
Tyranitar,100,134,110,95,100,61,2,2,0,0,0,4,0,6,21,11,13,9,3,0,100.0,0,3,2,Uber,Yes
Lugia,106,90,130,90,154,110,3,0,0,0,0,3,0,3,7,7,15,9,4,0,100.0,3,3,10,Uber,Yes
Ho-Oh,106,130,90,110,154,90,8,0,0,0,0,3,0,2,6,6,15,6,4,1,100.0,4,3,10,Uber,Yes
Celebi,100,100,100,100,100,100,-2,2,2,3,0,4,2,2,5,3,10,8,3,0,100.0,3,3,13,RU,Yes
Milotic,95,60,79,100,125,81,2,0,0,3,0,4,0,2,5,3,6,4,2,0,83.33333333333334,3,3,1,UU,Yes
Swampert,100,110,90,85,90,60,6,2,0,3,0,3,0,1,15,9,8,6,2,0,75.0,0,2,9,OU,Yes
Gardevoir,68,65,65,125,115,80,4,0,3,1,2,3,2,2,5,5,13,7,3,0,100.0,1,3,13,UU,Yes
Exploud,104,91,63,91,73,68,3,0,0,0,0,2,0,1,14,10,11,7,2,0,100.0,0,2,4,NU,Yes
Registeel,80,75,150,75,150,50,11,2,0,0,0,3,0,2,12,7,5,4,3,0,64.28571428571429,0,0,2,RU,Yes
Pelipper,60,50,100,95,70,65,6,0,0,3,2,3,1,6,5,5,7,4,4,0,100.0,3,0,3,OU,Yes
Flygon,80,100,80,80,80,100,3,0,0,3,0,4,2,1,13,10,11,5,4,0,95.45454545454544,3,4,10,RU,Yes
Ninjask,61,90,45,50,50,160,3,0,0,3,0,5,0,1,3,3,4,3,4,0,100.0,3,4,3,RU,Yes
Sharpedo,70,120,40,95,40,95,5,0,0,3,0,5,2,1,10,8,7,4,2,0,100.0,0,4,1,RU,Yes
Crawdaunt,63,120,85,90,55,55,5,0,0,0,2,4,2,1,7,7,9,5,3,1,100.0,0,2,9,OU,Yes
Salamence,95,135,80,110,80,100,5,0,1,0,0,4,0,3,10,10,9,5,4,0,75.0,3,3,10,UU,Yes
Metagross,80,135,130,95,90,70,10,2,0,0,0,3,2,1,13,8,7,5,3,0,64.28571428571429,0,0,2,RU,Yes
Kyogre,100,100,90,150,140,90,2,0,0,0,0,3,0,6,6,6,8,4,3,1,100.0,0,3,9,Uber,Yes
Groudon,100,150,140,100,90,90,3,2,0,0,0,4,0,6,14,8,10,6,3,1,100.0,0,3,2,Uber,Yes
Rayquaza,105,150,90,150,90,95,5,0,0,0,0,4,2,3,11,9,17,10,4,1,40.0,0,3,10,Uber,Yes
Jirachi,100,100,100,100,100,100,10,2,2,3,0,3,0,2,7,8,15,9,3,0,60.0,2,3,13,OU,Yes
Rotom-Heat,50,65,107,105,107,86,5,0,0,3,0,4,2,2,2,2,9,6,4,0,95.45454545454544,0,3,12,OU,Yes
Rotom-Wash,50,65,107,105,107,86,4,0,0,3,0,4,2,2,2,2,9,6,4,0,95.45454545454544,0,3,12,OU,Yes
Rotom-Mow,50,65,107,105,107,86,1,0,0,3,0,4,2,2,2,2,9,6,4,0,95.45454545454544,0,3,12,NU,Yes
Roserade,60,70,65,125,105,90,2,3,1,0,0,4,3,2,4,3,6,6,4,0,100.0,3,3,5,RU,Yes
Togekiss,85,50,95,120,115,80,9,0,2,0,0,4,2,1,4,5,15,7,4,0,75.0,3,3,11,UU,Yes
Magnezone,70,70,115,130,90,60,13,0,0,3,0,2,0,2,7,4,6,3,3,0,75.0,0,3,12,OU,Yes
Heatran,91,90,106,130,106,77,14,2,0,0,0,3,0,1,10,6,13,6,3,1,77.77777777777779,0,3,2,Uber,Yes
Gastrodon,111,83,68,92,82,39,6,0,0,0,0,2,0,2,5,4,9,5,2,0,100.0,3,2,9,UU,Yes
Bronzong,67,89,116,79,116,33,10,2,0,0,0,3,0,2,8,6,8,4,3,0,95.45454545454544,0,0,13,RU,Yes
Garchomp,108,130,95,80,85,102,3,2,0,0,0,4,0,1,11,9,7,5,2,0,80.0,0,3,2,OU,Yes
Hippowdon,108,112,118,68,72,47,3,2,0,0,0,2,0,6,11,6,2,3,2,0,100.0,3,2,2,OU,Yes
Drapion,70,90,110,60,75,95,7,1,0,0,2,4,0,0,8,9,5,5,2,0,50.0,1,0,14,NU,Yes
Rhyperior,115,140,130,55,55,40,2,2,0,0,0,4,0,2,22,13,13,9,2,0,83.33333333333334,0,2,2,UU,Yes
Tangrowth,100,100,125,110,50,50,-1,0,0,0,2,4,0,5,7,6,5,4,4,0,100.0,4,2,5,Uber,Yes
Mamoswine,110,130,80,70,60,80,0,2,0,0,2,2,2,2,12,6,4,3,1,0,85.71428571428571,0,2,2,OU,Yes
Azelf,75,125,70,125,70,115,-1,2,0,3,2,4,0,2,8,7,13,7,3,0,95.45454545454544,2,4,13,UU,Yes
Dialga,100,120,120,150,100,90,12,2,0,0,0,3,0,2,11,6,15,9,3,0,65.21739130434783,0,3,10,Uber,Yes
Palkia,90,120,100,150,120,100,3,0,0,0,0,3,0,2,12,6,15,9,3,1,65.21739130434783,0,3,10,Uber,Yes
Giratina,150,100,120,100,120,90,9,0,0,0,0,3,2,2,8,8,12,9,4,0,65.21739130434783,0,3,10,Uber,Yes
Giratina-Origin,150,120,100,120,100,90,9,0,0,0,0,3,2,2,8,8,12,9,4,0,95.45454545454544,0,3,10,Uber,Yes
Seismitoad,105,95,75,85,75,74,6,2,0,0,2,2,0,5,8,9,9,5,1,0,66.66666666666666,2,2,9,UU,Yes
Krookodile,95,117,80,65,70,92,6,2,0,0,2,3,0,0,17,8,8,6,2,0,75.0,0,2,4,UU,Yes
Ferrothorn,74,94,131,54,116,20,11,3,0,0,2,4,0,2,9,5,6,4,3,0,80.0,2,0,2,Uber,Yes
Chandelure,60,55,90,145,90,80,11,0,0,0,0,3,0,1,1,2,14,6,3,0,77.77777777777779,0,3,6,UU,Yes
Volcarona,85,60,65,135,105,100,3,0,0,3,0,5,0,3,6,6,9,5,4,0,66.66666666666666,3,3,3,OU,Yes
Excadrill,110,135,60,50,65,88,13,2,0,0,0,4,0,5,8,7,5,5,4,0,76.92307692307693,0,2,2,Uber,Yes
Conkeldurr,105,140,95,55,65,45,0,0,0,0,2,5,2,0,14,8,2,2,4,0,100.0,2,2,4,OU,Yes
Darmanitan,105,140,55,30,55,95,3,0,0,3,0,3,0,1,11,8,11,4,3,0,50.0,0,2,4,RU,Yes
Zoroark,60,105,60,120,60,105,3,0,0,3,2,4,2,0,3,4,10,7,3,0,1.0,0,4,14,NU,Yes
Reuniclus,110,65,75,125,85,30,-1,0,0,0,2,3,0,2,9,8,11,7,3,0,100.0,4,2,13,UU,Yes
Escavalier,70,135,105,60,105,20,11,0,0,0,2,4,0,0,5,7,4,5,2,0,40.0,2,0,0,NU,Yes
Amoonguss,114,85,70,85,80,30,2,0,0,0,0,3,0,2,3,4,6,4,5,0,100.0,4,2,5,Uber,Yes
Mienshao,65,125,60,95,60,105,0,0,0,3,2,4,1,0,7,7,3,2,2,0,100.0,4,4,4,UU,Yes
Golurk,89,124,80,55,80,55,11,2,0,0,0,3,0,1,19,11,10,8,3,0,75.0,2,2,4,RU,Yes
Bisharp,65,125,100,60,70,70,13,2,0,0,2,4,2,0,8,8,6,4,3,0,88.88888888888889,0,0,14,OU,Yes
Braviary,100,123,75,57,75,80,7,0,0,3,0,3,0,3,7,6,3,3,4,0,88.88888888888889,3,2,3,NU,Yes
Mandibuzz,110,65,105,55,95,80,7,0,0,3,2,4,0,0,3,3,5,4,4,0,40.0,3,2,3,OU,Yes
Hydreigon,92,105,90,125,90,98,4,0,0,3,0,4,0,0,14,10,15,9,4,0,95.45454545454544,3,3,10,OU,Yes
Cobalion,91,90,129,90,72,108,11,2,0,3,0,4,1,0,9,8,4,3,3,0,75.0,0,3,2,UU,Yes
Tornadus-Therian,79,100,80,110,90,121,4,0,0,3,2,4,0,3,5,5,9,7,4,0,100.0,4,3,14,OU,Yes
Thundurus-Therian,79,105,70,145,80,101,7,0,0,3,2,4,0,2,6,6,10,7,4,0,66.66666666666666,0,3,14,UU,Yes
Reshiram,100,120,100,150,120,90,4,0,0,0,0,4,0,2,12,8,14,7,4,0,76.92307692307693,3,3,10,Uber,Yes
Zekrom,100,150,120,120,100,90,3,0,0,3,0,4,0,2,14,8,10,8,4,1,76.92307692307693,3,3,10,Uber,Yes
Landorus,89,125,90,115,80,101,8,2,0,3,2,4,0,2,7,7,6,5,4,0,50.0,0,3,2,Uber,Yes
Landorus-Therian,89,145,90,105,80,91,8,2,0,3,2,4,0,2,7,7,6,5,4,0,61.53846153846154,0,3,2,Uber,Yes
Kyurem,125,130,90,130,90,95,-2,0,0,0,0,4,0,2,11,7,12,8,2,0,65.21739130434783,3,3,10,OU,Yes
Kyurem-Black,125,170,100,120,90,95,-2,0,0,0,0,4,0,2,12,8,12,8,2,0,76.92307692307693,3,3,10,Uber,Yes
Kyurem-White,125,120,90,170,100,95,-2,0,0,0,0,4,0,2,11,7,13,9,2,0,76.92307692307693,3,3,10,Uber,Yes
Keldeo,91,72,90,129,90,108,2,0,0,3,0,4,2,0,9,7,6,3,2,1,75.0,0,3,1,OU,Yes
Genesect,71,120,95,120,95,99,11,0,0,3,0,4,2,2,5,7,12,9,3,0,33.33333333333333,2,3,12,Uber,Yes
Zygarde,108,100,121,81,95,95,3,0,0,0,0,4,2,0,11,8,8,5,4,1,1.0,0,3,2,Uber,Yes
Aegislash,60,50,140,50,140,60,18,0,0,0,0,4,2,2,7,4,4,3,4,0,1.0,0,0,0,OU,Yes
Hawlucha,78,92,75,74,63,118,4,0,0,3,0,4,0,0,17,12,2,1,4,0,85.71428571428571,3,4,4,OU,Yes
Noivern,85,70,80,97,80,123,5,0,0,3,0,4,0,3,7,7,12,8,4,0,55.55555555555556,3,4,3,UU,Yes
Talonflame,78,81,71,74,69,126,8,0,0,3,0,4,3,3,4,3,6,3,4,0,66.66666666666666,3,4,3,RU,Yes
Doublade,59,110,150,45,49,35,18,0,0,0,0,4,2,2,6,3,2,1,2,0,75.0,0,0,0,RU,Yes
Dragalge,65,75,90,97,123,44,4,1,0,3,0,2,0,2,6,7,11,7,2,0,100.0,0,0,1,RU,Yes
Tyrantrum,82,121,119,69,59,71,0,2,0,0,0,4,0,0,19,9,5,4,2,0,50.0,0,0,2,RU,Yes
Sylveon,95,65,65,110,130,60,5,0,2,0,0,3,1,2,1,4,7,4,2,0,16.666666666666664,1,3,8,UU,Yes
Goodra,90,100,70,110,150,80,1,0,0,0,0,2,0,2,10,10,13,8,2,0,60.0,0,3,9,NU,Yes
Klefki,57,80,91,80,87,75,16,3,0,0,0,3,3,0,2,3,6,4,4,0,87.5,1,0,13,UU,Yes
Xerneas,126,131,95,131,98,99,5,0,1,0,0,5,0,2,6,7,10,6,4,0,1.0,3,3,13,Uber,Yes
Yveltal,126,131,95,131,98,99,7,0,0,3,2,2,2,3,6,7,9,7,4,0,1.0,3,3,3,Uber,Yes
Diancie,50,100,150,100,150,50,4,2,1,0,0,3,0,2,6,4,8,5,2,1,64.28571428571429,1,0,13,UU,Yes
Volcanion,80,110,120,130,90,70,5,0,0,0,0,3,0,2,13,6,13,7,4,1,53.84615384615385,0,3,2,UU,Yes
Tapu Koko,70,115,85,95,75,130,7,0,0,3,0,3,1,6,6,4,7,3,4,0,100.0,3,4,12,OU,Yes
Tapu Lele,70,85,75,130,115,95,4,0,1,0,0,3,0,6,2,2,12,7,2,0,100.0,1,3,13,OU,Yes
Tapu Bulu,70,130,115,85,95,75,4,0,0,0,0,4,0,6,11,8,6,4,2,0,100.0,3,0,5,OU,Yes
Tapu Fini,70,75,115,95,130,85,7,0,0,0,2,3,0,6,3,4,10,5,4,0,100.0,1,3,1,OU,Yes
Ninetales-Alola,73,67,75,81,100,109,2,0,1,0,0,4,2,6,4,6,9,5,2,0,100.0,1,4,8,OU,Yes
Marowak-Alola,60,80,110,50,80,45,11,2,0,0,2,4,0,2,13,10,15,9,3,1,71.42857142857143,0,0,4,RU,Yes
Decidueye,78,107,75,100,100,70,7,0,0,3,2,4,2,3,7,4,8,4,4,1,20.0,3,3,5,RU,Yes
Incineroar,95,115,90,80,90,60,6,0,0,3,2,4,1,0,15,8,10,4,3,0,61.53846153846154,2,2,4,UU,Yes
Primarina,80,74,74,126,116,60,7,0,0,3,0,3,2,2,5,4,12,7,2,0,75.0,1,3,1,OU,Yes
Lycanroc-Dusk,75,117,65,55,65,110,-1,2,0,0,0,4,2,0,13,9,3,2,2,0,100.0,0,4,2,UU,Yes
Toxapex,50,63,152,53,142,35,5,1,0,0,2,2,0,1,3,2,8,3,4,0,100.0,4,0,1,Uber,Yes
Mudsdale,100,125,100,55,85,35,3,2,0,0,0,2,0,0,10,6,2,3,1,0,26.31578947368421,0,2,2,NU,Yes
Araquanid,68,70,92,50,132,42,2,4,0,0,0,2,0,1,6,4,6,3,1,0,53.84615384615385,2,0,1,NU,Yes
Salazzle,68,64,60,111,60,117,6,0,0,0,2,4,1,0,9,5,7,3,3,0,37.5,1,4,14,RU,Yes
Comfey,51,52,90,82,110,100,5,0,1,3,0,3,3,2,4,2,5,4,4,0,100.0,3,4,5,NU,Yes
Golisopod,75,125,140,60,90,40,2,3,0,0,2,4,2,1,8,9,10,7,2,0,1.0,1,0,1,RU,Yes
Mimikyu,55,90,80,50,105,96,12,0,0,0,0,4,2,2,3,5,8,6,3,0,1.0,2,4,6,RU,Yes
Dhelmise,70,131,100,86,90,40,7,0,0,0,2,4,0,2,9,8,8,6,4,0,1.0,3,0,5,RU,Yes
Kommo-o,75,110,125,100,105,85,1,2,0,0,0,5,0,0,17,12,8,5,2,1,50.0,2,3,4,OU,Yes
Solgaleo,137,137,107,113,89,97,10,0,0,1,2,3,0,2,15,10,14,6,3,1,64.28571428571429,3,3,13,Uber,Yes
Lunala,137,113,89,137,107,97,6,0,0,1,0,3,0,2,4,3,15,8,4,1,100.0,3,3,13,Uber,Yes
Nihilego,109,53,47,127,131,103,2,2,0,0,2,3,0,2,7,6,11,5,3,0,100.0,0,3,13,UU,Yes
Buzzwole,107,139,139,53,53,79,0,0,0,0,0,3,0,0,17,12,0,0,2,0,100.0,3,2,4,Uber,Yes
Pheromosa,71,137,37,137,37,151,0,0,0,3,0,5,0,1,9,8,4,4,4,0,100.0,3,4,0,Uber,Yes
Xurkitree,83,89,71,173,71,83,2,0,0,3,0,3,0,2,4,3,6,4,3,0,100.0,0,3,12,RU,Yes
Celesteela,97,101,103,107,101,61,16,0,0,0,0,3,0,1,13,9,7,4,1,0,100.0,2,3,2,UU,Yes
Kartana,59,181,131,59,31,109,11,0,0,0,2,4,2,2,4,4,2,1,4,0,100.0,3,4,0,OU,Yes
Necrozma,97,107,101,127,89,79,-1,2,0,0,2,4,0,1,10,8,12,8,3,0,83.33333333333334,3,3,13,UU,Yes
Necrozma-Dusk Mane,97,157,127,113,109,77,10,2,0,0,2,4,0,1,10,8,12,8,3,1,83.33333333333334,3,3,13,Uber,Yes
Necrozma-Dawn Wings,97,113,109,157,127,77,6,2,0,0,2,4,0,1,10,8,12,8,3,1,83.33333333333334,3,3,13,Uber,Yes
Magearna,80,95,115,130,115,65,16,0,1,3,0,4,0,2,4,4,12,8,3,1,1.0,1,3,13,Uber,Yes
Marshadow,90,125,80,90,90,125,8,0,0,0,2,3,3,0,16,13,5,3,3,1,54.54545454545454,2,3,4,Uber,Yes
Naganadel,73,73,73,127,73,121,4,3,0,3,0,4,0,0,10,7,12,6,2,0,100.0,1,4,3,Uber,Yes
Stakataka,61,131,211,53,101,13,9,2,0,0,0,3,0,0,13,6,2,1,1,0,100.0,0,0,2,RU,Yes
Zeraora,88,112,75,102,80,143,2,0,0,3,2,3,1,2,11,9,7,3,3,1,66.66666666666666,2,4,4,OU,Yes
Melmetal,135,143,143,80,65,34,11,0,0,0,0,2,0,2,11,8,6,4,3,1,33.33333333333333,0,2,0,OU,Yes
Weezing-Galar,65,90,120,85,70,60,8,1,1,0,1,2,0,6,3,2,12,7,4,1,100.0,0,0,6,RU,Yes
Articuno-Galar,90,85,85,125,100,95,3,0,0,3,0,3,0,3,3,2,8,4,1,0,83.33333333333334,3,3,13,NU,Yes
Moltres-Galar,90,85,90,100,125,90,7,0,0,3,0,4,2,3,3,3,7,4,2,1,100.0,0,3,0,OU,Yes
Slowking-Galar,95,65,80,110,110,30,2,0,0,0,0,4,0,2,5,8,19,9,3,0,100.0,4,3,9,OU,Yes
Darmanitan-Galar,105,140,55,30,55,95,-3,0,0,3,0,3,0,1,13,9,12,5,3,0,50.0,0,2,4,Uber,Yes
Rillaboom,100,125,90,60,70,85,-1,0,0,3,2,4,1,6,11,5,9,4,2,0,100.0,2,2,5,OU,Yes
Cinderace,80,116,75,65,75,119,3,0,0,3,0,3,2,0,9,7,9,4,2,0,25.0,0,4,0,Uber,Yes
Inteleon,70,85,65,125,65,120,2,0,0,3,0,4,2,2,5,3,8,5,2,0,75.0,0,4,1,NU,Yes
Corviknight,98,87,105,53,85,67,16,0,0,3,0,4,0,3,5,4,4,3,4,0,65.21739130434783,3,2,3,Uber,Yes
Barraskewda,61,123,60,60,50,136,2,0,0,3,0,3,2,5,8,8,3,2,0,0,66.66666666666666,0,4,0,RU,Yes
Toxtricity,75,98,70,114,70,75,5,0,0,3,0,4,3,2,8,5,10,3,3,1,54.54545454545454,2,4,12,UU,Yes
Hatterene,57,90,95,136,103,29,4,0,2,0,0,4,0,2,4,3,8,5,3,0,100.0,2,3,13,OU,Yes
Grimmsnarl,95,120,65,95,75,60,8,0,0,0,0,4,3,0,14,9,4,4,3,1,87.5,2,2,14,Uber,Yes
Obstagoon,93,90,101,60,81,95,5,0,0,2,2,5,0,2,11,11,9,5,4,0,100.0,0,2,14,UU,Yes
Sirfetch'd,62,135,95,68,82,65,0,0,0,0,2,4,2,2,7,6,1,0,4,0,100.0,0,0,0,NU,Yes
Copperajah,122,130,69,80,69,30,11,2,0,0,0,2,0,0,15,9,4,4,2,0,50.0,0,2,2,NU,Yes
Arctozolt,90,100,90,90,80,55,-1,0,0,0,0,3,0,5,10,6,9,4,3,1,100.0,0,2,0,RU,Yes
Dracovish,90,90,100,70,80,75,3,0,0,0,0,3,0,5,14,8,6,4,0,1,66.66666666666666,1,2,0,Uber,Yes
Dragapult,88,120,75,100,75,142,9,0,0,3,0,4,2,2,5,6,12,6,3,0,71.42857142857143,0,4,0,OU,Yes
Zamazenta,92,130,115,80,115,138,0,0,0,0,0,3,1,1,8,8,7,4,1,0,100.0,0,3,0,Uber,Yes
Zamazenta-Crowned,92,130,145,80,145,128,11,0,0,0,0,3,1,1,8,8,7,4,1,1,100.0,0,3,0,Uber,Yes
Eternatus,140,85,95,145,95,130,4,1,0,0,0,4,0,1,2,3,8,6,2,1,65.21739130434783,3,3,0,Uber,Yes
Urshifu,100,130,100,63,60,97,4,0,0,3,0,3,2,0,17,11,4,2,2,1,100.0,2,2,4,Uber,Yes
Urshifu-Rapid-Strike,100,130,100,63,60,97,2,0,0,3,0,3,2,0,15,11,3,2,2,1,100.0,2,2,4,OU,Yes
Zarude,105,120,105,70,95,105,2,0,2,3,0,4,0,2,13,7,5,3,2,0,12.5,3,3,14,UU,Yes
Regieleki,80,100,50,100,50,200,2,0,0,3,0,3,2,2,3,3,2,2,4,0,1.0,0,4,12,Uber,Yes
Regidrago,200,100,50,100,50,80,1,0,0,0,0,4,0,0,7,4,2,2,1,0,1.0,0,2,0,RU,Yes
Glastrier,100,145,130,65,110,30,-3,0,0,0,0,4,0,1,12,7,3,2,2,0,75.0,0,0,0,NU,Yes
Spectrier,100,65,60,145,80,130,8,0,0,0,0,4,0,0,4,4,4,3,3,0,1.0,0,3,0,Uber,Yes
Calyrex-Ice,100,165,150,85,130,50,-4,0,1,0,0,4,0,2,15,9,12,5,3,1,1.0,2,0,13,Uber,Yes
Calyrex-Shadow,100,85,80,165,100,150,6,0,1,0,0,4,0,2,7,6,13,6,3,1,1.0,2,3,13,Uber,Yes
